,mol,density,BCUT_SMR_3,diameter,ASA_P,MNDO_E,PM3_E,AM1_Eele,ASA,dipoleX,pmiX,PM3_dipole,vsurf_EDmin1,vsurf_EDmin3,FASA+,FASA-,FASA_H,MNDO_dipole,MNDO_Eele,npr2,vsurf_A,vsurf_CP,vsurf_CW2,vsurf_W6,vsurf_Wp1,vsurf_Wp4,Q_VSA_FPOL,reactive,SMR_VSA1,SlogP_VSA4,SlogP_VSA6,SlogP_VSA8,h_emd,h_pavgQ,h_pstates,apol,Kier2,mutagenic,PEOE_VSA+5,PEOE_VSA-1,PEOE_VSA-6,vdw_area,GCUT_PEOE_0,GCUT_SLOGP_0,GCUT_SLOGP_2,logP(o/w)
0,Clc1c(C)cccc1N1CC=2C(=[N+]CCCC)NC(N)=[N+]C=2CC1,0.72505701,2.8844924,12,153.74876,-93247.344,-84066.328,-718895.38,621.95758,3.2412968,1948.5695,24.202961,-2.7418754,-2.7170622,0.72191417,0.27808586,0.75279862,24.756021,-710617.94,0.85676461,5.5898089,0.33470923,1.7486956,9.75,1119.5,81.0,0.37759662,1,0.0,3.185575,3.5006065,56.605217,29.597403,0.52434683,2.8874502,56.696617,8.5895061,0,11.190562,81.540749,0.0,358.46097,-0.82364267,-2.204288,0.13186494,4.4640002
1,Clc1c(Cl)cccc1N1CC=2C(=[N+]CCCC)NC(N)=[N+]C=2CC1,0.78141004,2.8837554,12,164.23853,-97481.859,-87559.273,-730901.56,616.58264,5.066412,3001.729,31.237143,-2.9710429,-2.9653952,0.65438342,0.34561661,0.73363096,32.431061,-718180.69,0.73542488,6.7789545,0.34964141,1.8818799,15.5,1146.625,82.5,0.37722901,1,0.0,0.0,7.0012131,56.605217,29.255537,0.52485877,2.8883796,55.116238,8.5895061,0,11.190562,98.86779,0.0,358.81027,-0.82322687,-2.2042873,0.181145,4.7579999
2,Clc1c(N2CC=3C(=[N+]CCCC)NC(N)=[N+]C=3CC2)c(Cl)ccc1,0.78141004,2.8844304,12,154.2545,-97489.281,-87563.75,-735608.56,601.3819,-1.9463387,1514.8723,26.01829,-2.6531641,-2.6128471,0.65579152,0.34420845,0.74349993,24.378052,-729110.81,0.84244406,5.4521523,0.33969802,1.8583753,9.25,1095.25,80.25,0.37722901,1,0.0,0.0,7.0012131,56.605217,29.310282,0.52367723,2.8862267,55.116238,8.5895061,0,11.190562,98.86779,0.0,358.81027,-0.82036167,-2.2042873,0.18539868,4.7579999
3,Clc1c(N2CC=3C(=[N+]CCCC)NC(N)=[N+]C=3CC2)cccc1,0.73315024,2.8834751,12,150.86629,-89640.0,-80613.883,-670500.19,593.35223,1.300169,741.27277,20.933912,-2.8831348,-2.8515007,0.71542591,0.28457409,0.7457391,19.63802,-665653.13,0.85073382,5.2985053,0.3226181,1.804608,10.25,1076.875,79.25,0.39666528,1,0.0,0.0,3.5006065,56.605217,29.450872,0.52436751,2.8874888,53.603031,8.3927336,0,11.190562,81.540749,0.0,341.22888,-0.82353044,-2.2042875,0.14223866,4.1680002
4,FC(F)(F)CCCNc1c(OC)cnc(N)n1,0.88134569,2.7986908,9,228.3717,-90520.133,-81442.797,-471450.44,450.95105,-0.091827206,1248.8534,1.8925214,-2.6303937,-2.5972013,0.67891437,0.32108563,0.49357763,3.8344774,-469626.53,0.85214067,2.2366261,0.1068745,2.3275764,28.125,730.0,41.625,0.54364759,0,89.451286,0.0,0.0,37.736813,10.417337,0.018706478,1.1003852,31.38131,6.8052931,1,0.0,0.0,2.503756,241.60841,-0.80836701,-1.3351703,0.26019999,0.87676001
5,FC(F)(F)Oc1ccc(N2CC=3C(=[N+]CCCC)NC(N)=[N+]C=3CC2)cc1,0.79227066,2.8827956,15,266.89087,-125023.95,-113303.56,-878616.31,647.72156,-2.0957983,1455.1418,38.62495,-2.643605,-2.6181505,0.65863544,0.34136453,0.58795434,39.019062,-870978.56,0.85893673,2.0850182,0.19435608,2.1330965,10.375,1093.875,79.125,0.51171291,1,55.880226,0.0,0.0,56.605217,30.242411,0.52514166,2.8888898,55.656033,9.6668653,0,11.190562,27.44899,0.0,369.11084,-0.82700968,-2.204288,0.17794897,4.9767599
6,FC(F)(F)c1ccc(N2CC=3C(=[N+]CCCC)NC(N)=[N+]C=3CC2)cc1,0.77631354,2.8830733,14,260.1658,-117585.93,-106522.33,-832091.56,622.09521,0.020485608,583.79364,31.94903,-2.9486587,-2.8989899,0.66550148,0.33449852,0.58179098,36.10125,-816350.19,0.83774608,4.194684,0.246408,2.0786638,9.625,1054.0,77.25,0.50867391,1,44.880341,3.185575,7.7595162,56.605217,30.518953,0.52168316,2.8825533,54.854031,9.0,0,11.190562,27.44899,0.0,354.10712,-0.82706517,-2.204288,0.19143793,4.5127602
7,FC(F)(F)c1nc(N)c2NC(=O)N(CCCOC)c2c1,0.89970082,2.8438015,10,263.55447,-103839.28,-93680.406,-603315.94,473.62006,0.097680002,976.30164,1.3288051,-2.9325886,-2.8001614,0.63061976,0.36938027,0.44353187,1.5302804,-598752.19,0.71872199,3.0071113,0.067797124,2.4100096,28.75,748.25,50.0,0.48290354,0,61.665871,2.7567475,7.7595162,18.868406,10.702804,-0.00011025376,1.0018178,35.703308,6.405827,0,0.0,0.0,2.6406472,264.65082,-0.81867558,-1.3347197,0.26019999,0.51375997
8,FC(F)(F)c1nc(N)c2NC(=O)N(C[C@H]3COCCC3)c2c1,0.88454944,2.9646144,10,267.08942,-110394.11,-99863.484,-685909.5,500.06693,-0.35037199,1122.3204,1.8962916,-2.6890047,-2.6113811,0.62452346,0.37547657,0.46589267,2.2230802,-680373.88,0.76396072,4.3077531,0.070391402,2.3276525,28.25,802.875,48.375,0.47013846,0,61.665871,7.1675434,7.7595162,37.736813,10.78273,-0.00011154612,1.0018283,40.556896,6.4814816,0,0.0,0.0,2.6406472,271.83655,-0.81554145,-1.3347243,0.26019999,0.89076
9,FC(F)(F)c1nc(N)c2NC(=O)N(Cc3c(N4C(C[N+]5CCN(C)CC5)CCC4)[n+]ccc3)c2c1,0.79120928,3.0412023,16,267.57251,-156374.64,-140692.88,-1455993.4,649.7948,0.31436005,1793.3168,14.843854,-2.5399644,-2.4972568,0.74034905,0.25965092,0.58822,15.05673,-1427217.0,0.76504242,3.6249814,0.086814299,2.0668995,38.25,1102.25,85.75,0.50256377,0,64.790184,5.9423227,7.7595162,37.736813,34.559986,1.0606126,1.9365981,72.423584,11.00654,0,11.190562,0.0,0.13689101,476.71396,-0.87954968,-2.2601802,0.20311026,1.57776
